building_id,floors,damage_level,building_type,zoning_category,geometry
17,2,0.528,residential,mixed_use,"POLYGON ((11.571218 48.127046, 11.571247 48.127211, 11.571133 48.12722, 11.571104 48.127055, 11.571218 48.127046))"
18,5,0.177,residential,mixed_use,"POLYGON ((11.572303 48.127068, 11.572346 48.127252, 11.572151 48.127272, 11.572109 48.127088, 11.572303 48.127068))"
19,1,0.285,industrial,industrial,"POLYGON ((11.573486 48.127063, 11.573306 48.127459, 11.57268 48.127333, 11.57286 48.126937, 11.573486 48.127063))"
20,6,0.215,residential,residential,"POLYGON ((11.574519 48.12714, 11.574513 48.127277, 11.574295 48.127274, 11.5743 48.127136, 11.574519 48.12714))"
21,5,0.12,public,public,"POLYGON ((11.564839 48.127538, 11.564633 48.127966, 11.564103 48.127852, 11.564309 48.127424, 11.564839 48.127538))"
22,2,0.752,public,public,"POLYGON ((11.565745 48.127911, 11.565711 48.128069, 11.565528 48.128051, 11.565562 48.127893, 11.565745 48.127911))"
23,3,0.876,residential,mixed_use,"POLYGON ((11.566509 48.127651, 11.566562 48.127774, 11.56649 48.127788, 11.566437 48.127665, 11.566509 48.127651))"
24,4,0.142,commercial,mixed_use,"POLYGON ((11.567945 48.127883, 11.567839 48.128045, 11.567599 48.127975, 11.567705 48.127813, 11.567945 48.127883))"
25,3,0.501,commercial,mixed_use,"POLYGON ((11.569108 48.127896, 11.569108 48.128069, 11.568621 48.128069, 11.56862 48.127896, 11.569108 48.127896))"
26,8,0.987,residential,mixed_use,"POLYGON ((11.570117 48.127931, 11.570089 48.127978, 11.569961 48.127945, 11.569988 48.127898, 11.570117 48.127931))"
27,1,0.098,cultural,historical,"POLYGON ((11.571179 48.127899, 11.571207 48.1281, 11.570899 48.128119, 11.570871 48.127918, 11.571179 48.127899))"
28,4,0.871,residential,mixed_use,"POLYGON ((11.572452 48.127915, 11.572392 48.128101, 11.572231 48.128078, 11.57229 48.127892, 11.572452 48.127915))"
29,3,0.114,residential,residential,"POLYGON ((11.573403 48.127861, 11.573442 48.127917, 11.573277 48.127967, 11.573238 48.127912, 11.573403 48.127861))"
30,5,0.684,residential,mixed_use,"POLYGON ((11.574454 48.127703, 11.574447 48.127766, 11.574308 48.12776, 11.574315 48.127697, 11.574454 48.127703))"
31,6,0.663,residential,residential,"POLYGON ((11.564402 48.128501, 11.564397 48.128598, 11.564318 48.128596, 11.564323 48.128499, 11.564402 48.128501))"
32,4,0.063,residential,mixed_use,"POLYGON ((11.56569 48.128618, 11.565666 48.128753, 11.565499 48.12874, 11.565524 48.128605, 11.56569 48.128618))"
33,1,0.158,residential,mixed_use,"POLYGON ((11.566969 48.128671, 11.567005 48.128756, 11.566807 48.128793, 11.566771 48.128708, 11.566969 48.128671))"
34,2,0.113,commercial,commercial,"POLYGON ((11.567833 48.128399, 11.567769 48.128706, 11.567403 48.128671, 11.567468 48.128365, 11.567833 48.128399))"
35,1,0.426,industrial,industrial,"POLYGON ((11.569115 48.128602, 11.569004 48.128925, 11.568492 48.128847, 11.568603 48.128524, 11.569115 48.128602))"
36,3,0.876,residential,residential,"POLYGON ((11.569808 48.128347, 11.56974 48.128512, 11.569668 48.128499, 11.569736 48.128334, 11.569808 48.128347))"
37,5,0.314,commercial,mixed_use,"POLYGON ((11.571147 48.128406, 11.571146 48.128691, 11.570843 48.12869, 11.570844 48.128406, 11.571147 48.128406))"
38,8,0.98,residential,mixed_use,"POLYGON ((11.572461 48.12854, 11.57242 48.128715, 11.572236 48.128696, 11.572277 48.128521, 11.572461 48.12854))"
39,2,0.546,industrial,industrial,"POLYGON ((11.573663 48.128245, 11.573738 48.128496, 11.572884 48.128609, 11.572809 48.128359, 11.573663 48.128245))"
40,5,0.13,residential,mixed_use,"POLYGON ((11.574276 48.128512, 11.574255 48.128562, 11.57404 48.128522, 11.574061 48.128472, 11.574276 48.128512))"
41,10,0.154,commercial,commercial,"POLYGON ((11.564742 48.129001, 11.564768 48.129262, 11.564243 48.129286, 11.564217 48.129024, 11.564742 48.129001))"
42,1,0.195,industrial,industrial,"POLYGON ((11.566165 48.129016, 11.566312 48.129441, 11.565285 48.1296, 11.565138 48.129175, 11.566165 48.129016))"
43,7,0.548,residential,mixed_use,"POLYGON ((11.566913 48.129267, 11.566941 48.129459, 11.566813 48.129467, 11.566785 48.129275, 11.566913 48.129267))"
44,8,0.445,residential,residential,"POLYGON ((11.56764 48.129379, 11.567672 48.129436, 11.567521 48.129474, 11.567489 48.129416, 11.56764 48.129379))"
45,5,0.623,residential,residential,"POLYGON ((11.569059 48.129274, 11.569056 48.129331, 11.568895 48.129326, 11.568899 48.129269, 11.569059 48.129274))"
46,8,0.551,residential,mixed_use,"POLYGON ((11.570073 48.129323, 11.570091 48.129507, 11.569864 48.129517, 11.569846 48.129333, 11.570073 48.129323))"
47,1,0.297,public,mixed_use,"POLYGON ((11.571165 48.12915, 11.571059 48.129405, 11.570691 48.129336, 11.570798 48.129082, 11.571165 48.12915))"
48,1,0.244,industrial,industrial,"POLYGON ((11.572863 48.129375, 11.572673 48.129719, 11.571931 48.129535, 11.572121 48.129192, 11.572863 48.129375))"
49,4,0.53,residential,mixed_use,"POLYGON ((11.573153 48.129206, 11.573113 48.129373, 11.572896 48.129349, 11.572936 48.129183, 11.573153 48.129206))"
50,6,0.291,residential,residential,"POLYGON ((11.574145 48.129141, 11.574264 48.129329, 11.574196 48.129349, 11.574077 48.12916, 11.574145 48.129141))"
51,2,0.175,cultural,historical,"POLYGON ((11.564973 48.129959, 11.564861 48.130121, 11.564668 48.130061, 11.56478 48.129899, 11.564973 48.129959))"
52,2,0.859,industrial,industrial,"POLYGON ((11.566095 48.129826, 11.566138 48.130028, 11.565494 48.13009, 11.56545 48.129888, 11.566095 48.129826))"
53,4,0.294,residential,mixed_use,"POLYGON ((11.566716 48.129975, 11.566709 48.130136, 11.56646 48.130131, 11.566467 48.12997, 11.566716 48.129975))"
54,2,0.285,commercial,commercial,"POLYGON ((11.567963 48.130024, 11.567817 48.130278, 11.56752 48.130202, 11.567665 48.129948, 11.567963 48.130024))"
55,1,0.253,commercial,commercial,"POLYGON ((11.568973 48.130075, 11.568954 48.130225, 11.568422 48.130196, 11.56844 48.130046, 11.568973 48.130075))"
56,2,0.424,industrial,industrial,"POLYGON ((11.570238 48.130141, 11.570154 48.130311, 11.569634 48.130197, 11.569718 48.130027, 11.570238 48.130141))"
57,2,0.333,cultural,historical,"POLYGON ((11.57133 48.13009, 11.571379 48.130238, 11.571163 48.13027, 11.571114 48.130122, 11.57133 48.13009))"
58,4,0.078,public,mixed_use,"POLYGON ((11.572355 48.12978, 11.572241 48.130094, 11.571714 48.130009, 11.571828 48.129695, 11.572355 48.12978))"
59,2,0.747,commercial,commercial,"POLYGON ((11.573453 48.130045, 11.573369 48.130265, 11.573037 48.130208, 11.57312 48.129989, 11.573453 48.130045))"
60,1,0.197,public,mixed_use,"POLYGON ((11.574646 48.130019, 11.574495 48.130291, 11.574128 48.130201, 11.574279 48.129928, 11.574646 48.130019))"
61,1,0.559,industrial,industrial,"POLYGON ((11.565113 48.130756, 11.564991 48.130966, 11.563943 48.130693, 11.564066 48.130483, 11.565113 48.130756))"
62,4,0.102,residential,mixed_use,"POLYGON ((11.565774 48.130583, 11.565769 48.130686, 11.565593 48.130682, 11.565598 48.130579, 11.565774 48.130583))"
63,4,0.136,residential,mixed_use,"POLYGON ((11.566873 48.1307, 11.566846 48.130823, 11.566616 48.1308, 11.566643 48.130677, 11.566873 48.1307))"
64,3,0.058,residential,residential,"POLYGON ((11.567739 48.130535, 11.567765 48.130668, 11.567596 48.130683, 11.56757 48.130549, 11.567739 48.130535))"
65,1,0.757,residential,residential,"POLYGON ((11.569226 48.130508, 11.569124 48.130685, 11.569043 48.130664, 11.569145 48.130487, 11.569226 48.130508))"
66,2,0.102,industrial,industrial,"POLYGON ((11.570108 48.130464, 11.570046 48.130858, 11.569419 48.130815, 11.56948 48.13042, 11.570108 48.130464))"
67,1,0.228,industrial,industrial,"POLYGON ((11.571555 48.130511, 11.571538 48.130921, 11.57046 48.130901, 11.570477 48.130491, 11.571555 48.130511))"
68,2,0.355,residential,residential,"POLYGON ((11.571977 48.130594, 11.572074 48.130766, 11.571912 48.130807, 11.571815 48.130635, 11.571977 48.130594))"
69,4,0.725,residential,residential,"POLYGON ((11.573304 48.130558, 11.573289 48.130693, 11.573202 48.130689, 11.573217 48.130554, 11.573304 48.130558))"
70,3,0.752,residential,residential,"POLYGON ((11.574487 48.130626, 11.574516 48.130753, 11.574401 48.130764, 11.574373 48.130637, 11.574487 48.130626))"
71,2,0.097,residential,mixed_use,"POLYGON ((11.564921 48.13124, 11.564882 48.131311, 11.564767 48.131284, 11.564805 48.131212, 11.564921 48.13124))"
72,9,0.744,residential,mixed_use,"POLYGON ((11.565585 48.131457, 11.565555 48.131502, 11.565339 48.131438, 11.565368 48.131394, 11.565585 48.131457))"
73,2,0.443,industrial,industrial,"POLYGON ((11.567309 48.131539, 11.567158 48.131772, 11.566213 48.131499, 11.566364 48.131266, 11.567309 48.131539))"
74,1,0.53,industrial,industrial,"POLYGON ((11.568251 48.131189, 11.568026 48.131568, 11.567664 48.131473, 11.567889 48.131093, 11.568251 48.131189))"
75,2,0.297,residential,mixed_use,"POLYGON ((11.56886 48.131376, 11.568917 48.131551, 11.56879 48.131569, 11.568733 48.131394, 11.56886 48.131376))"
76,5,0.627,commercial,mixed_use,"POLYGON ((11.570319 48.131361, 11.570357 48.131678, 11.569876 48.131704, 11.569838 48.131387, 11.570319 48.131361))"
77,1,0.472,residential,residential,"POLYGON ((11.571433 48.1316, 11.571406 48.131669, 11.57119 48.131631, 11.571217 48.131562, 11.571433 48.1316))"
78,2,0.572,residential,residential,"POLYGON ((11.572076 48.131254, 11.572042 48.131395, 11.571915 48.131382, 11.571949 48.13124, 11.572076 48.131254))"
79,2,0.451,public,public,"POLYGON ((11.573324 48.131272, 11.573395 48.13174, 11.573092 48.13176, 11.573021 48.131292, 11.573324 48.131272))"
80,4,0.233,commercial,commercial,"POLYGON ((11.574573 48.131558, 11.574498 48.131704, 11.574097 48.131613, 11.574173 48.131466, 11.574573 48.131558))"
81,2,0.112,commercial,commercial,"POLYGON ((11.564834 48.132196, 11.564823 48.132313, 11.564382 48.132295, 11.564392 48.132178, 11.564834 48.132196))"
82,4,0.164,residential,mixed_use,"POLYGON ((11.565923 48.132231, 11.565916 48.132361, 11.565736 48.132356, 11.565743 48.132227, 11.565923 48.132231))"
83,1,0.47,industrial,industrial,"POLYGON ((11.567299 48.131994, 11.567107 48.132431, 11.566219 48.132257, 11.566411 48.13182, 11.567299 48.131994))"
84,3,0.873,residential,residential,"POLYGON ((11.568189 48.132043, 11.56817 48.132172, 11.567994 48.132161, 11.568013 48.132031, 11.568189 48.132043))"
85,6,0.606,public,mixed_use,"POLYGON ((11.568892 48.132064, 11.568961 48.132482, 11.568433 48.132521, 11.568364 48.132103, 11.568892 48.132064))"
86,7,0.334,residential,residential,"POLYGON ((11.569841 48.131893, 11.56993 48.132067, 11.569694 48.13212, 11.569606 48.131946, 11.569841 48.131893))"
87,4,0.236,residential,mixed_use,"POLYGON ((11.571371 48.132207, 11.571347 48.132382, 11.571239 48.132376, 11.571263 48.132201, 11.571371 48.132207))"
88,3,0.234,public,mixed_use,"POLYGON ((11.572153 48.132018, 11.572166 48.132225, 11.571743 48.132237, 11.57173 48.13203, 11.572153 48.132018))"
89,1,0.245,residential,mixed_use,"POLYGON ((11.573084 48.131991, 11.573115 48.132072, 11.572997 48.132093, 11.572966 48.132012, 11.573084 48.131991))"
90,3,0.299,residential,mixed_use,"POLYGON ((11.574356 48.132242, 11.574435 48.132377, 11.574285 48.132417, 11.574205 48.132282, 11.574356 48.132242))"
91,3,0.413,public,mixed_use,"POLYGON ((11.565008 48.132564, 11.565102 48.132908, 11.564481 48.132983, 11.564388 48.13264, 11.565008 48.132564))"
92,3,0.347,residential,residential,"POLYGON ((11.565905 48.132814, 11.565799 48.132988, 11.565702 48.132961, 11.565808 48.132788, 11.565905 48.132814))"
93,6,0.976,commercial,mixed_use,"POLYGON ((11.566949 48.132691, 11.566934 48.132914, 11.566446 48.132899, 11.566461 48.132677, 11.566949 48.132691))"
94,2,0.645,residential,mixed_use,"POLYGON ((11.567778 48.132706, 11.567822 48.132788, 11.567645 48.132831, 11.5676 48.13275, 11.567778 48.132706))"
95,6,0.871,public,public,"POLYGON ((11.568905 48.132796, 11.569035 48.133026, 11.568662 48.13312, 11.568532 48.13289, 11.568905 48.132796))"
96,1,0.761,industrial,industrial,"POLYGON ((11.570577 48.132691, 11.570477 48.133301, 11.569567 48.133235, 11.569667 48.132624, 11.570577 48.132691))"
97,2,0.423,residential,residential,"POLYGON ((11.571058 48.132926, 11.57109 48.133043, 11.570921 48.133063, 11.57089 48.132947, 11.571058 48.132926))"
98,4,0.921,residential,mixed_use,"POLYGON ((11.572451 48.13291, 11.572449 48.133036, 11.572344 48.133036, 11.572346 48.132909, 11.572451 48.13291))"
99,2,0.846,residential,residential,"POLYGON ((11.573435 48.132901, 11.573457 48.132976, 11.573294 48.132997, 11.573271 48.132923, 11.573435 48.132901))"
100,3,0.151,residential,mixed_use,"POLYGON ((11.574087 48.132931, 11.57417 48.133086, 11.574018 48.133122, 11.573935 48.132968, 11.574087 48.132931))"
